Title,Genre,IMDB Rating,Rating
Big Daddy,"Comedy, Drama",6.4,PG-13
Big Fat Liar,"Adventure, Comedy, Family",5.5,PG
Big Kill,"Action, Western",5.3,R
Big Miracle,"Biography, Drama, Family",6.5,PG
Big Stone Gap,"Comedy, Romance",5.7,PG-13
Big Time,"Documentary, Music",8.1,PG
Big Time Movie,"Comedy, Family, Music",6.4,G
Biggie and Tupac,"Documentary, Biography, Crime",6.8,R
"Bikram: Yogi, Guru, Predator","Documentary, Crime",6.7,TV-MA
Bill Burr: I'm Sorry You Feel That Way,Comedy,8.3,TV-MA
Bill Burr: Let It Go,Comedy,8.4,Not Rated
Bill Burr: Paper Tiger,Comedy,8.2,TV-MA
Bill Burr: Walk Your Way Out,Comedy,7.3,TV-MA
Bill Burr: You People Are All the Same.,Comedy,8.3,TV-MA
Bill Hicks: Relentless,"Documentary, Comedy",8.6,Not Rated
Bill Hicks: Revelations,"Documentary, Comedy",8.6,Not Rated
Bill Hicks: Sane Man,"Documentary, Comedy",8.4,Not Rated
Bill Nye: Science Guy,Documentary,6.4,Not Rated
Billu,"Comedy, Drama",6.3,Not Rated
Billy Elliot,"Drama, Music",7.7,R
Billy Graham: An Extraordinary Journey,"Documentary, Biography, Family, History",7.6,Not Rated
Bird Box,"Horror, Sci-Fi",6.6,R
Birdshot,"Drama, Mystery, Thriller",6.7,TV-MA
Bitch,"Comedy, Drama, Thriller",5.1,R
Bitcoin Heist,"Action, Comedy",5.8,Not Rated
BitterSweet,"Romance, Thriller",4.5,R
Bittoo Boss,Romance,4.1,Not Rated
Black,Drama,8.2,Not Rated
Black '47,"Action, Drama, History",6.9,R
Black,Drama,8.2,Not Rated
Black Friday,"Action, Crime, Drama",8.5,Not Rated
Black Hawk Down,"Drama, History, War",7.7,R
Black Panther,"Action, Adventure, Sci-Fi",7.3,PG-13
Black Rose,"Action, Crime, Drama",2.6,TV-MA
Black Sea,"Adventure, Drama, Thriller",6.4,R
Black Snake Moan,"Drama, Music",6.9,R
Black Snow,Action,5.2,R
Blackpink: Light Up the Sky,"Documentary, Music",7.5,TV-14
Blame!,"Animation, Action, Drama",6.7,TV-14
Blaze,"Biography, Comedy, Drama",6.0,R
Bleed for This,"Biography, Drama, Sport",6.8,R
Blind Date,"Comedy, Romance",6.0,PG-13
Blinky Bill: The Movie,"Animation, Adventure, Family",5.1,PG
Blood Father,"Action, Crime, Drama",6.4,R
Blood Money,"Crime, Drama, Thriller",4.5,R
Blood Will Tell,"Action, Adventure, Romance",6.9,Passed
Blow,"Biography, Crime, Drama",7.6,R
Blue Jasmine,"Comedy, Drama",7.3,PG-13
Blue Jay,"Drama, Romance",7.3,Unrated
Blue Mountain State: The Rise of Thadland,"Comedy, Sport",5.7,R
Blue Ruin,"Crime, Drama, Thriller",7.1,R
Blue Streak,"Action, Comedy, Crime",6.3,PG-13
Blue Valentine,"Drama, Romance",7.3,R
Bluffmaster!,"Comedy, Crime, Drama",6.6,Not Rated
Bo Burnham: Make Happy,"Comedy, Music",8.4,TV-MA
Bo Burnham: what.,"Comedy, Music",8.4,TV-MA
Bob Lazar: Area 51 & Flying Saucers,Documentary,5.6,Not Rated
Bob's Broken Sleigh,"Animation, Short, Adventure, Family",4.7,TV-G
Bobbleheads: The Movie,"Animation, Family",2.6,PG
Bobby,"Biography, Drama, History",7.0,R
Bobby Jasoos,"Comedy, Drama, Thriller",5.5,Not Rated
Bodyguard,"Crime, Drama, Thriller",8.1,TV-MA
Boi,"Mystery, Thriller",5.0,TV-MA
Bokeh,"Drama, Sci-Fi",5.0,TV-MA
Bollywood Calling,"Comedy, Drama, Music",6.4,Not Rated
Bolt,"Animation, Adventure, Comedy",6.8,PG
Bombairiya,"Comedy, Crime, Drama",4.5,Not Rated
Bombay Talkies,Drama,6.7,Not Rated
Bombshell,"Biography, Drama",6.8,R
